"job_id","company_name","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date"
157003,"Engtal","Data Engineer","Anywhere","Full-time","325000.0","2023-02-17 18:11:49"
21321,"Engtal","Data Engineer","Anywhere","Full-time","325000.0","2023-01-27 18:10:51"
270455,"Durlston Partners","Data Engineer","Anywhere","Full-time","300000.0","2023-07-17 11:10:55"
230458,"Twitch","Director of Engineering - Data Platform","Anywhere","Full-time","251000.0","2023-01-30 11:07:32"
595768,"Signify Technology","Principal Data Engineer","Anywhere","Full-time","250000.0","2023-02-14 15:24:07"
561728,"AI Startup","Data Engineer","Anywhere","Full-time","250000.0","2023-03-24 23:32:42"
543728,"Signify Technology","Staff Data Engineer","Anywhere","Full-time","250000.0","2023-03-28 13:11:42"
151972,"Movable Ink","Principal Data Engineer (Remote)","Anywhere","Full-time","245000.0","2023-05-25 15:05:38"
204320,"Handshake","Staff Data Engineer","Anywhere","Full-time","245000.0","2023-01-08 15:05:16"
2446,"Meta","Data Engineering Manager","Anywhere","Full-time","242000.0","2023-12-12 15:56:17"
